DATE,T5YIE
2017-11-29,1.69
2017-11-30,1.73
2017-12-01,1.72
2017-12-04,1.76
2017-12-05,1.69
2017-12-06,1.74
2017-12-07,1.74
2017-12-08,1.71
2017-12-11,1.76
2017-12-12,1.78
2017-12-13,1.74
2017-12-14,1.76
2017-12-15,1.77
2017-12-18,1.71
2017-12-19,1.74
2017-12-20,1.74
2017-12-21,1.84
2017-12-22,1.82
2017-12-25,.
2017-12-26,1.76
2017-12-27,1.82
2017-12-28,1.86
2017-12-29,1.86
